record_id,mutopia_id,title,composer,opus,instrumentation,ensemble_class,source_edition,license,detail_url,listing_url,score_source_format,score_download_available,midi_download_available,pdf_download_available,score_midi_relation,exactness_class,human_performance_claim,validation_date
mutopia-1021,1021,Concerto for Violin and Orchestra in D Major (2nd Movement),L. V. Beethoven,Op. 61,Violin and orchestra,orchestra_concerto,Breitkopf and Hartel (1862-1865),Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=1021,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=10,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-1165,1165,Concerto for Violin and Orchestra in D Major (3rd Movement),L. V. Beethoven,Op. 61,Violin and orchestra,orchestra_concerto,Breitkopf and Hartel (1862-1865),Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=1165,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=10,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-57,57,Ouverture Coriolan,L. V. Beethoven,O62,"Orchestra: woodwinds, horns, trumpets, timpani, strings",full_orchestra,"Beethoven's Werke, Ouverturen fuer Orchester; Breitkopf and Haertel, Leipzig, n.d. [1862-1865]",Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=57,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=10,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-941,941,Symphony No. 5 - Opus 67 (1st Movement),L. V. Beethoven,Op. 67,Orchestra,full_orchestra,Breitkopf and Härtel (1862-1865),Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=941,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=10,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-1437,1437,Symphony No. 5 - Opus 67 (2nd Movement),L. V. Beethoven,Op. 67,Orchestra,full_orchestra,Breitkopf and Härtel (1862-1865),Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=1437,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=10,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-377,377,Fidelio Overture,L. V. Beethoven,Op. 72b,"Orchestra: woodwinds, horns, trumpets, trombones, timpani, strings",full_orchestra,"Eulenburg, 1919",Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=377,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=10,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-547,547,Overture to Egmont,L. V. Beethoven,Op. 84,"Orchestra: woodwinds, horns, trumpets, timpani, strings",full_orchestra,Breitkopf and Hartel,Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=547,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=10,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-891,891,Symphony No. 7 in A Major (1st Movement: Poco sostenuto - Vivace),L. V. Beethoven,Op. 92,"Orchestra: woodwinds, horns, trumpets, timpani, strings",full_orchestra,Breitkopf and Hartel (1862-1865),Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=891,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=10,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-595,595,Symphony No. 7 in A Major (2nd Movement: Allegretto),L. V. Beethoven,Op. 92,"Orchestra: woodwinds, horns, trumpets, timpani, strings",full_orchestra,Litolff Verlag,Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=595,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=10,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-1651,1651,David et Jonathas,M.-A. Charpentier,H490,Voice and orchestra,vocal_orchestra,"Collection Philidor Laisnée, 1690",CC BY 3.0,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=1651,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=10,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-1901,1901,Symphony Nr. 7,A. Dvořák,Op. 70,Orchestra,full_orchestra,Všeschna práva vyhrnazena - Plate H 1535,Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=1901,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=20,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-1793,1793,Symphony No. 9 in E minor,A. Dvořák,Op. 95,Orchestra,full_orchestra,N. Simrock GmbH (1894),CC BY-SA 3.0,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=1793,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=20,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-1320,1320,Symphonie n°2,F.-J. Gossec,,"Orchestra: oboe, horn, violin, alto, bass",chamber_orchestra,Sieber - Paris (XVIIIth century),Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=1320,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=20,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-1266,1266,Symphonie n°1,F.-J. Gossec,,"Orchestra: oboe, horn, violin, alto, bass",chamber_orchestra,Sieber - Paris (XVIIIth century),Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=1266,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=20,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-119,119,Giulio Cesare,G. F. Handel,HWV 17,"Dramatis personae and orchestra: recorders, flute, oboes, bassoons, horns, strings, harp, theorbo, continuo",opera_orchestra,"Dover unaltered reprint of Deutschen Handelgesellschaft edition, volume 68, 1875",CC BY 2.5,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=119,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=20,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-1732,1732,Messiah,G. F. Handel,HWV 56,Voice and orchestra,vocal_orchestra,"Leipzig, Friedrich Chrysander, Deutschen Handelgesellschaft edition, volume 45, 1902",CC BY 3.0,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=1732,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=20,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-459,459,Hallelujah Chorus from Messiah,G. F. Handel,HWV 56,"Voice SATB and orchestra: strings, oboes, bassoons, trumpet, timpani",vocal_orchestra,Unknown,Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=459,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=20,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-2089,2089,Romance and Rondo,Franz Joseph Keyper,,Double bass and chamber orchestra,chamber_orchestra_concerto,"Manuscript, late 18th century",Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=2089,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=20,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-737,737,Le ballet de la revente des habits du ballet et comédie,J. B. Lully,LWV05,Orchestra and voice,ballet_vocal_orchestra,"Collection Phillidor Laisnée, 1681-1690",CC BY 2.5,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=737,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=20,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-738,738,Ballet de l'amour malade,J. B. Lully,LWV08,Orchestra and voice,ballet_vocal_orchestra,"Collection Philidor Laisnée, 1690",CC BY 2.5,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=738,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=20,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-1520,1520,Les Plaisirs de l'Île Enchantée,J. B. Lully,LWV22,Voice and orchestra,vocal_orchestra,"Collection Philidor Laisnée, ca. 1690-1702",CC BY 3.0,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=1520,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=30,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-765,765,Le Bourgeois Gentilhomme,J. B. Lully,LWV43,Voice and orchestra,vocal_orchestra,"Collection Philidor Laisnée, ca. 1690",CC BY 2.5,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=765,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=30,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-809,809,Psyché,J. B. Lully,LWV56,Voice and orchestra,opera_orchestra,"Collection Philidor Laisnée, 1690-1702",CC BY 3.0,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=809,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=30,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-1652,1652,Phaéton,J. B. Lully,LWV61,Voice and orchestra,opera_orchestra,"Paris, Christophe Ballard, 1683",CC BY 3.0,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=1652,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=30,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-935,935,Armide,J. B. Lully,LWV71,Voice and orchestra,opera_orchestra,"Ballard, Paris, 1686",CC BY 3.0,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=935,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=30,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-1644,1644,Symphonie en sol mineur,E. N. Méhul,,"Orchestra: flute, oboe, clarinet, bassoon, horn, timpani, strings",full_orchestra,Meysenberg - Paris - circa 1825,Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=1644,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=30,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-1947,1947,Psalm 42,F. Mendelssohn-Bartholdy,O42,Orchestra,vocal_orchestra,"Leipzig: Breitkopf & Härtel, 1874-1877, Plate M.B. 89 (IMSLP #51802)",Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=1947,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=30,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-80,80,Ein Sommernachtstraum - No.5,F. Mendelssohn-Bartholdy,O 61,"Orchestra: flute, oboe, clarinet, bassoon, horn, strings",full_orchestra,Unknown,Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=80,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=30,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-346,346,Symphony nr. 18 in F major K. 130,W. A. Mozart,KV 130,"Orchestra: flutes, horns, strings",orchestra,Breitkopf und Härtel,Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=346,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=30,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-1380,1380,Symphony No. 25 - KV183 (1st Movement),W. A. Mozart,KV 183,"Orchestra: oboes, horns, strings",orchestra,Breitkopf and Hartel (1880),Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=1380,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=30,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-1381,1381,Symphony No. 25 - KV183 (2nd Movement),W. A. Mozart,KV 183,"Orchestra: oboes, horns, strings",orchestra,Breitkopf and Hartel (1880),Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=1381,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=40,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-686,686,Concerto for Bassoon and Orchestra in B flat major,W. A. Mozart,KV 191,"Bassoon and orchestra: horns, oboes, strings",orchestra_concerto,"Breitkopf und Härtel, 1880s",Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=686,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=40,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-344,344,Andante in C Major K. 315,W. A. Mozart,KV 315,"Flute and orchestra: strings, horns, oboes, bass",orchestra_concerto,Breitkopf und Härtel,Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=344,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=40,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-918,918,Mozart Horn Concerto No. 1,W. A. Mozart,K 412,Horn and orchestra,orchestra_concerto,Score: Breitkopf & Härtel, 1877-1883; piano score B&H Nr.2561,CC BY-SA 3.0,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=918,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=40,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-901,901,Mozart Horn Concerto No. 2,W. A. Mozart,K 417,Horn and orchestra,orchestra_concerto,"Breitkopf & Härtel, 1877-1883",Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=901,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=40,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-1735,1735,Mozart Horn Concerto No.3,W. A. Mozart,K 447,Horn and orchestra,orchestra_concerto,"Score: Leipzig, Breitkopf & Härtel, 1877-1910; piano score ca. 1890",CC BY-SA 3.0,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=1735,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=40,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-448,448,Masonic Funeral Music KV 477,W. A. Mozart,KV 477,"Orchestra: basset horn, clarinet, oboes, horns, strings",orchestra,Werner Icking Archive,Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=448,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=40,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-2229,2229,Piano Concerto № 23,W. A. Mozart,KV 488,"Orchestra: flute, clarinet, bassoon, horn, piano, strings",orchestra_concerto,Wolfgang Amadeus Mozart's Werke; Breitkopf and Härtel, 1879,Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=2229,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=40,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-1736,1736,Mozart Horn Concerto No.4,W. A. Mozart,K 495,Horn and orchestra,orchestra_concerto,"Score: Leipzig, Ernst Eulenburg; piano score Breitkopf und Härtel",CC BY-SA 3.0,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=1736,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=40,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-553,553,Ein Musikalischer Spass (A Musical Joke) Mv 1,W. A. Mozart,KV 522,"Orchestra: horns and strings",chamber_orchestra,free-scores.com,Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=553,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=40,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-2230,2230,Eine Kleine Nachtmusik,W. A. Mozart,KV525,"Orchestra: violins, viola, cello",string_orchestra,"Breitkopf & Härtel, 1883",Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=2230,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=50,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-248,248,Die Zauberflöte (The Magic Flute) - Ouverture,W. A. Mozart,KV 620,"Orchestra: woodwinds, horn, trumpet, trombone, strings",opera_orchestra,J. L. Peters 1875; C. F. Peters; Lee & Walker 1870; North & Co. 1879,Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=248,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=50,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-249,249,Die Zauberflöte (The Magic Flute) - No. 4 Arie,W. A. Mozart,KV 620,"Orchestra: oboe, bassoon, horn, strings, soprano",opera_orchestra,J. L. Peters 1875; C. F. Peters; Lee & Walker 1870; North & Co. 1879,Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=249,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=50,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-259,259,Die Zauberflöte (The Magic Flute) - No. 7 Duett,W. A. Mozart,KV 620,"Orchestra: clarinet, bassoon, horn, strings, soprano and bass",opera_orchestra,J. L. Peters 1875; C. F. Peters; Lee & Walker 1870; North & Co. 1879,Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=259,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=50,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-260,260,Die Zauberflöte (The Magic Flute) - No. 9 Marsch der Priester,W. A. Mozart,KV 620,"Orchestra: flute, bass horn, bassoon, horn, trombones, strings",opera_orchestra,Kretschmar & Nunns ca. 1834-1836; J. L. Peters 1875; C. F. Peters; Lee & Walker 1870; North & Co. 1879,Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=260,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=50,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-251,251,Die Zauberflöte (The Magic Flute) - No. 13 Arie,W. A. Mozart,KV 620,"Orchestra: piccolo, flute, clarinet, bassoon, strings, soprano",opera_orchestra,J. L. Peters 1875; C. F. Peters; Lee & Walker 1870; North & Co. 1879,Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=251,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=50,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-266,266,Die Zauberflöte (The Magic Flute) - No. 14 Arie,W. A. Mozart,KV 620,"Orchestra: flute, bassoon, horn, strings, soprano",opera_orchestra,J. L. Peters 1875; C. F. Peters; Lee & Walker 1870; North & Co. 1879,Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=266,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=50,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-253,253,Die Zauberflöte (The Magic Flute) - No. 15 Arie,W. A. Mozart,KV 620,"Orchestra: flute, bassoon, horn, strings, bass voice",opera_orchestra,J. L. Peters 1875; C. F. Peters; Lee & Walker 1870; North & Co. 1879,Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=253,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra&startat=50,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
