fingerprint,cluster_size,record_ids
99806250fdf43c3140aaa984312f6579bcc70feb331410d16b69f10f48be8bbd,7,pdmx-qmcgzvptbweyqgtsaffuv1uivydxrakmrjfx8nxjhxughq;pdmx-qmcjte9arrxp5jckhequwfil5vzym7xcwc7h8wmes2bbab;pdmx-qmddshtmnmkc9hzgfhhocaoqhpnk5vgnmms2aenz1maffp;pdmx-qmqqgtxhffkxsu1sykacmgtfc4ngqip3p4kiahcskfc54v;pdmx-qmtyz9sumwlubcc8cfyfsfzgvz5dwqqhv1hnhnnotdxvmy;pdmx-qmuouiqs2jssq6pmxavebqjxyjuov6evjud4hjxezp1zv6;pdmx-qmwrdvyckk1dtnsi7blpouaoucrdtjzmgzqcrevyeqgkwj
c5ba06ddfb67c2520838dbe7eeb38a12c3081ae37efb795428b2f9196df0ada8,7,pdmx-qma9tx6nztngkkjd343nvexmvmcpgdx2pvmpnd5mlmumu1;pdmx-qmd6jsgixwqcxrcjjkr7wg1spvcewgf86yv3fmnfqexr3k;pdmx-qmew6xtfqjm4hflkrujnmgqmc7x66umb3zxd7nyhv9gtf2;pdmx-qmfdhg1fsdftzucpohp73lgunzrfiw7euxywfulkgusktl;pdmx-qmqiqgzhoznhqragjrtars49yagownxwydonklmy2crfnm;pdmx-qmsrlywvhqdpeinuphctozzdteyt35ysosox2uzjvp27yu;pdmx-qmwsqeohz9x8hpuqvninrkt8a5jvax3h6p6mhgsq7httkw
40ccf66e49510dedef5f0cf938e218b9e7684c2f20bbdda5a7ae73b9fff6f85e,6,pdmx-qma1kqcdsaeumxobxkp8aerlilyzqsmodmomhhjmvdnvks;pdmx-qmctgtmcwwcen4rp1yacgdvcaazjkzpeunjmhgdtuguoqh;pdmx-qmf9xwselntlr7xtwd6rbr6qlcrd2gctms8jdawj2r3xmm;pdmx-qmfapxybuhkd5ukd3ombgjjxmlejqcpdzmuxnwxdum89ku;pdmx-qmnklkml3yjpmddru4bxrwsymss4mfxa6512ztpwcjttfg;pdmx-qmqwuwuptafzi7heqngppu4hd8luwjfuz8supkv2gwdwda
79b8687f3c98eab12daeac48ad40b9170d5e4e805a198dc0abd213b1416cdea3,6,pdmx-qmnfcq8369xeks91fv7svpfn4wxmbots7onr1fgydic7sn;pdmx-qmpwoqjd3upsdfesvolhqzvbwpdnaqaia52whpvpjgisvk;pdmx-qmtf7bqktuumm9s42llxdjfc3knnurbkvplqvquzhzhpr3;pdmx-qmtqmj7ovtbfi8ycw3whu4fh9m7kicpwx37ptdp7ejrrm3;pdmx-qmwhblnl1wtv9jpq87j7tzujcgv4pwixusstrkbdc4fumd;pdmx-qmx6udvxueyh9juiqwbztpyyoyebpfcb5tpnkcfiv79myf
7e1437c30d73b95ae62baabc0fe69d9e7e7d5c90aa6ca79e1973bc1d6dc3c952,6,pdmx-qmbsqsbp5t2orgydddnuh5ovvgkh5qrfygkmdv5egf8snv;pdmx-qmqegwfuhisus2q8mcb63xycnygrq5zzh2q6ei17wwgknh;pdmx-qmv8j93fkmxxz3xab3ubgx2f8qn72ec7igyuejrdsm6xfc;pdmx-qmx86mmlwrlkce6erymdyp1cxprz6sl9havcjpbyqeees4;pdmx-qmygi6zqyxpuewyg3kpozar78cavngkaurdk3tnm2kvdgm;pdmx-qmzzh9vuucj6tvjn7qfatywv38vrajnv7kzhii4msqyvud
b48a624c2cfb8564674269b6ab9617edbaac7a6c549f173f50925c16af7158fc,6,pdmx-qmqcmcheqghdqmt6oqqekjis6jurusxsj77c9fumaxb3sv;pdmx-qmrtkgysfxsbntgonkpfrkptf4p1lfivdd3hlrribndfvw;pdmx-qmsqbctggzlruzfyx31mwpncjmjt9ewbxvmpwtkkftndkz;pdmx-qmusiqugwxtj9fyzs5nfmaftwwsff8kmd8ambpsnsr45gc;pdmx-qmvtktmr7kfntxax5vfcdw2xjuqb95w6hv5kj8hlsxjeci;pdmx-qmy9qlgnt2sgz8xcdbyymhsiicggutqaxxlkynvao4clfn
df435881417436031c13674924d2ad71e972205525d0faf3bf0b441ae9bd615d,6,pdmx-qmd21sxec2agfhf4ne5fmv7suff9lxucnvvu5y2r26kms4;pdmx-qmdtkhgtxwuhu3pljmkdiw5v3b5bxcfuu8rc7yttenmsam;pdmx-qms25ieffeqnsuwgxkkey38krsw3xermdvs1fa9xtxrhxr;pdmx-qmsabwcvgxny6jrg7h54tfptagxavffkq4fslu9vt7rgak;pdmx-qmyfk1xpskcnqmztrmf6rv5zm3dw7bv5bwzs5cwjm79htf;pdmx-qmzlk8tqxrrue9e7sty9mcyda4nfxzva837ssm6raxiaqw
ea709dd5b8b7eb1dd863d7dbd50ddd0616e5d1eb410a02b07a6b2619de0bb89d,6,pdmx-qmfhqtumhy3lf2b3133vjjss2xgnwub7rtnq12tpwaglbz;pdmx-qmtg3xy7n9cxdkftdcwrrdycehkctk43pp1ychkez89rug;pdmx-qmukfecdox88vf8xp5l3tmrddhz8dmnvtphwwwrd7fjwww;pdmx-qmwnhlk5sxbrn9tkd3nr5xwrga1gjj5f7qxcqjhsvfq2la;pdmx-qmxznlez9rgkywenbtnjqsg8k29vma4whdydqebmc242up;pdmx-qmz9yvxeq78khkyg1ajstaabpm7mgx8byneldbbfeqzmdw
effbd5497acba11b67d92faa963eaff0bbfbc2ff31516d0d17ebda9d5a48c831,6,pdmx-qmcolh7cdnamc4a26ekmlztaig8zeqnyjkkvr1mtnyvqfe;pdmx-qmdyunuhf2ttdq7bj1f9bvmiiee8jtx19ed5i7dsni2dpg;pdmx-qmnha6xyzd5xut4wydrbjqaymtqfd75xr7zivcqy8kdj7k;pdmx-qmqehegu72aft2jsrb47m6jappgrqappndbjwqkjxacwrv;pdmx-qmsyrlxlfrmdfzbpsxu6tf1zffovaewyuynkdlhzgjkfsh;pdmx-qmwzxek65jrfxqcivxwwujgmlvjcyycbayj4r81gyfswgu
0d00766df1ddf527965cdce3c0ac8a4bf4fdc97fc1eab00e03255d5579768604,5,pdmx-qmc6xl58gcv9cf4tx2dxsink5h7udle1fh5u3ykkhw2dxg;pdmx-qmq9yjwuydc2yqqhz8mdvweak48btrf4kxpf2facoleg8z;pdmx-qmtcv2nyust9lp5pafhdjydczh67t29pjqcmhfd4kxktgk;pdmx-qmvchtfdkpn4de7nd7swgsk3pnyjc8yverdofsvqvvvqgs;pdmx-qmxcsdfyncgh8upqwhhfqf9guadxxhisoknanyv85ovxxq
32cff9a0f1b01911a072c90ee863c7f8d9cf8e5eee10493a5f392f81de411ad5,5,pdmx-qmbxmwztaantj7qt7mbhcdct4ykgb7bhzftuz98xwqujja;pdmx-qmpn1bzahvcs5ki3rhdbzowfirfnra9ve7snfzf6xaaoq5;pdmx-qmqviqtrz6adpvhq1xfjrkdtdtzjk2psvzkwrknyoy6nhu;pdmx-qmw2rcjpagkn8i2advuznaggmuxywwmthawkhe3fjmrfrs;pdmx-qmxph2pqyqpmm5afjpzbnsanaer9evxta5njsz7dwitk1a
3d006e38adc2c825e30d94512b0620f9474be51338aa1b270abeb9e9ecebb87e,5,pdmx-qmbnm1hovkgjxiiek1ndwr1mwczpgiqi3wq9usyeo2weis;pdmx-qmraq5jlwy27rkvrda3snw4leruz1qtksq3xcautazczkh;pdmx-qmsx8ouhhghqbs4htkdpkytdcoqekxuqg93kfnacvykdyt;pdmx-qmu3gssea7q1y9nwv3szdsylnz2va1zicuidcekwft17mr;pdmx-qmxnn9xe3fcdfd4k3yccyaifder5wtbxf6t31yfyarkkk2
43086d94c4459495c05f5ca6f771d179c5de350b54ae43e39964bd4d16d7a195,5,pdmx-qmb2rtbypqv9qmi82d16uaaf1rr5zufkxpu7969pccmvmv;pdmx-qmb7vmarpzaghorxq8n6lqmneejmqgdbqnssfuthjmkemi;pdmx-qmerux8aiddc6nk7d57hqddmei7m2sz7f5awir1nhqujmd;pdmx-qmq48p32rbxa4mtf3gpuiqjeyl5be83m7zxzllf3pfartm;pdmx-qmytgnwttrqjocdryz21rmwc2cpniecpeq3thfv9yzxdjk
43f3338d88783c3f37ad5187a132356cba38070e822e06a60821c69e4415da0f,5,pdmx-qmat8uh4bqmdrxtrv1wyq3x5wqrmatbgcw6jquufaqr92f;pdmx-qmbg12ocnwwxatb7zafukmmx1lqyqvyf6wqndyccqmmua4;pdmx-qmdxbctjkuxxufw2qz5onqlhpmstyvq6raaenmvetcpnwd;pdmx-qmuzcksd1cxve8fgeapsyht4hdmss6bebdwkoev4ntpbqk;pdmx-qmvgt7j7nnr3qh5tjygcu6xytbvmx3kucoolnqugwwby2s
5606baec132665ba3aa2e16513c2260350f4e601e5bcd5fe5e07ec1446d1534e,5,pdmx-qmb4ry7xsq25knuafbdydzmewglzhztxkg5p5fiecpk6s1;pdmx-qmbmjzywitxhqbif4keiwfr86paswd9rag4gptkx7ovdyd;pdmx-qmevakkgyarxba2wxzrujdkpfzkhkc4wbbknka4teiwcz3;pdmx-qmeywtdsuedswbwsgbqpp1mchjklkdvatinpojhehjttyn;pdmx-qmtkkza8vryyd1mkmuxey44d5trcqo5wtf9xhg2xzsmvqe
5d3d165e65e0efb4730e57a90ff4da4a1448c93334fc178836b79965f0fba2ca,5,pdmx-qmpfvznsxbyg8taiqyxwhcmfdktftvglhacjhxb5ar3cmh;pdmx-qmqz9wds2119gt87yrjpkh4ebrcrpmamtqx3kpvdnr39oc;pdmx-qmr3c4snnkjnpn3hefzrefzqq5xemq8vow4sgmvvu9xnne;pdmx-qmrsfkyc6p8mub914ntn4by4mmroz8wxxynaejzqnukcys;pdmx-qmw7y13ptnfdutcbfdshxgfrw957dankickfw6wh8knr4m
70c3596ed9b276c806b568070b1e225c4deee25ef0d63a0323fee7695b21d2f5,5,pdmx-qmantphn3ikpxdj59xh4u8hr2iqkwczqi3ugm6k4n9liqr;pdmx-qmezumc4zxxr5f79mfmdxeupssphyqarvjix8tceyepqfo;pdmx-qmfrs922wzmj99ye6bbrnqtgsszlzzua3nywmkfelkifbn;pdmx-qmprkcddjtfvbp8xjupbjk9ceduqb4jyj8sfwttfvd4txs;pdmx-qmrnar2dzpmeamnqcpk8dz3ruqbftbl5mecafaar6edztw
83ab524f994a89e551bdf2237ebb4f96e74f249fb516003454a487b1f10a834f,5,pdmx-qmrb27sqm5kwz5tdinnj44upwxzbimsgj9dxhvqdgueopb;pdmx-qmrcc9d286fn7nwrokdt8espynnr6wpxn8akwxjgztykqi;pdmx-qmvfyayzvkt1fim8kv7xno1e6e5kaf98fdtqnqmtegaqfi;pdmx-qmyhyppauagtq63ygdktmsiz1zc13djrsmhgdnngi4g1sq;pdmx-qmykcbmsybqjqeeygfhy2cqx3wnd98nxdzpovumysbu6c9
92b3937cff5292aa866d647bc5afc209d1440526afb282142dcdafc729324209,5,pdmx-qmbv2tfddjtdsmup9tdc4k3ldk2k5cxpagszngusmcjaz6;pdmx-qmxfds5adkbtlbaqga1m8jh6g5hm2djlujhotcmcbhy5kv;pdmx-qmxyqatyrmevzfall45at3vxdyzr1vukwtzfzh79cptfpg;pdmx-qmyvebj5b3v7nwwtlxpveakdz8uhscjcghsvjjyjbjdf4p;pdmx-qmztrudrqcjetzrpxfq8ipwhskuzbtr4rxxxx5a97wr76j
aa601be5771231242f6b8f515d913a39db1bf44089783ae16c397ba32de066e5,5,pdmx-qmackhblzpjg37v9ghkjgbfckyjnv8rl31l28rcjnw4jcy;pdmx-qmavzqnwyfngnrhhmwmzjzdiweblyto9equryrwnvz2tvu;pdmx-qmcc36xufxecq9dqwzgeotiwkvvzxji7ysf3mukhax55b1;pdmx-qmeulq8gcezoqxszmnegstvw7ec3oblujgyhfph2pinj2p;pdmx-qmeycczhzfgfceykhcchakhfc8kxktgghuqthxqk6luqqd
adc0afb60e17447f25f8921c842d0b18e0f4e997e50a098fcfe85a9bd79c41e9,5,pdmx-qmb2dutypjvhw1ranjw3vavuqce9xgb1dfhukx78nadwu5;pdmx-qmq8lgl5dpp2bihfx3xs2vchxuysqsw4yhrz8wfr1conj7;pdmx-qmvyxleu2cmxr11clpm3hkxfwvg6eamrzz83wbcfuj3lwb;pdmx-qmxup8i1yy5xxzwhltkzku7sqfn9vvddcozpcexyrvd64f;pdmx-qmzpcryh7wzgdfhx4aky8g7sx8sjwvfkb9avjsssstf7jk
bfb97a13b0feea25e33231d5800a316ac6427aa21a506968774dbbc6450319c8,5,pdmx-qmbp1wwydym3wbqnpp89zgzwhxp9kd2qmnwghrdkw1egus;pdmx-qmf4yuxuebkeroqs68ocxd8y6vyo47fvsrjjlg8wthebgq;pdmx-qmwsxyqyiuzuydbjmcwgvn9lwmktjfdvduhdaxjbbb3mzp;pdmx-qmxasvg1wvvewouwmv5h2nw9dpmtcpjbjdwqe2lyrzymne;pdmx-qmxp2bbbwqccuvewya56mnaerkx4u2rodaqebvyztxjvuk
e4b13176ef6bb2a95855de9a68162f98d61699400d88104ec7d661a9f19f9590,5,pdmx-qmddlqzpscbfzdpvgwmsnqa2wjdnws6pw6l3unkgnjajtx;pdmx-qmeo7z8ctlufo5n3rjtegul1ftbjnvrntbarje1sxmmfa4;pdmx-qmsqolkrfmnqxxgjtsxzkq1hwdlnndl4anh79iynq9zbzu;pdmx-qmxpodznfhy4n6t46sisdyzjzkoao5qfvdhxcgutcn57cu;pdmx-qmygtrhf8qhmjyz5a68fvtqabmi2915mvkgvmmclanyxe5
e86aa70d28f6210176ac3e073cebfb88aed19386dfa4f66ddf85ecd9d2189906,5,pdmx-qmaaoagptpxas4k4jpytadrt4f3ffuribmjpponkcyxkmi;pdmx-qmaxev9qfyd695uetxcmsx2vghbai9vjjptpwsiyuxgobt;pdmx-qmpejvhgqa4u2vsymwkg8bqw97ilnzuppdjrc4lkhi4vnt;pdmx-qmpzcnkjsz8ehxaqct34xs9lx5ygfrbgl3eyhaclfxr2jk;pdmx-qmwouqbperhra6sohhdr4ebrznjqjfblfdyfvbnjydhyc4
eb9ffc18fe5e27d0833169e4d8d0622e6e4ee2789e86899ba40f1ed5cbea2bf5,5,pdmx-qmduzqdftuy7demwyx7uuwa9zwdfngyjdkfvukg92zi1oq;pdmx-qmpg3wtavgnl83qlmgbdysfw7g52d2kft3rmhqycpxqwiv;pdmx-qmqx3ezhair6oz8aqmsxup67ufkh9cthjhvpsfh3ddnvih;pdmx-qmrcrz5d5glea7tcegiymu4vjd1zyvikvqhj4anyfff8m8;pdmx-qmvee1adqurqejs65eswo3mkcktlrsgwtua47tc5ssofke
f6247478ec4a88ee071e929ea189acfe808c256cce872685820c0e12fe14bb52,5,pdmx-qmbcbymuudvyeja8fwijqgsu7tmzn3qs8q6uxx8ukx4znv;pdmx-qmqdq2avdad5rt2n4cgv9w3vdjdc9fks3hym2oxtyhkxsy;pdmx-qmtw7pwluygcjgjawanojhjjtn8djv13fjs1svbxcz2v7d;pdmx-qmuzwfea8iufwlrsbrqsaxz4kcrxmnmpxcqbv9dqvkn3tn;pdmx-qmzpcrpgtugaklewwbuqsqm5t2e2pmhg8ruddwfzzyhyf4
fc12b2633ac8057bb2e059e083562eda567d19a7d67e8f8d505961f92ceda27c,5,pdmx-qmahz8frkukvucaq761q2qyjd2apwbkwucpqqjuhysp6jl;pdmx-qmbanmeqv5ygadje7cdkzyexxuhpkga1bpex3jwibbdlqp;pdmx-qmfefb69dk5ti9nabksaunvrwcumqfxc6r815jljok7zc4;pdmx-qmtuhfkgtpg5rxhu6pprsk6oxf9n78rd7wngewibm3r5ev;pdmx-qmuolcmy3aijvafk6uuo1521jctdmintnpslfzcbguayhg
06953aba1fe3c5e5f8fca49d06e68b5d6a24314796603bc195e623162d405ddf,4,pdmx-qmcbfba1aqvyzbdzgn6ivoxrvjqhgyv9aynnvi53stsvir;pdmx-qmepnhlsirkemnaga4s5vmjgjjz1ztb5wqeryzq7zk5edv;pdmx-qmpcjtmq6petaw7kiabvcy2ees6bzbmfp3zue1bdjz7g9s;pdmx-qmuanirlqf9tavck8qzaej6x3w3ccak3kn4e6dayamqna9
0aea71c1aef879894930ea8a4cd926e6cb1c5272a28d31c32da5d17f33d8eee6,4,pdmx-qmc9usumevcbzyzk971bdrr27ba5yam89ek1sclyekeyej;pdmx-qmrnfv7senimcwnygtg4vnjuuvfytqaewib2cjxenwxiw6;pdmx-qmrw9betwt2nnabwjnszkmj7kpgjyymnivwdqj2pcfjkk9;pdmx-qmvtewvkaxskx3oksjmbj9joq75erwgqkotrroc7uowzjt
0e6e03b6fe7a60bc0f0e0d07c8a1fbbc5448d6fdcc538454d40c6d0bb94562e6,4,pdmx-qmarfdpnyqshfpbuta3fgdurn9mvkqx4bzbtrrkhf2pj4q;pdmx-qmrcp79cmkwmgjjfhzruhqwhztvuslanzmqewpemchhrqq;pdmx-qmyrvc3mheytmvav7pspuvbgmwwrfejhtmcnpcvrzvkebm;pdmx-qmyxjyugnzgkju5jubgqdwu5qzwcmdgu9gmjwdjjcpg9tz
10d9c642f6aa1b241e89d9defa35dfd3e5097e96af6a4c2802314d612004b310,4,pdmx-qmndsodfuuffryym9stfvsvhkpckxbvywgb2k7vfcea4cq;pdmx-qmrk3ruudb65vk3dbuz5wusxzyrwqca1wujabvztgfoe8a;pdmx-qmv7xxsbyrbn9p4ekhc46dnib6fpqewivfqtnbjhktect7;pdmx-qmwur3hujaz4zioqkko5vjyzavswh3sczdtauagbtftfxj
17f40399874901004712cffede5de5c395b6424d193bd9187ca083b622e03a90,4,pdmx-qmcavc9ayxqffeqyfww2xcdvdfeydpdlyqjt6ju7beynpx;pdmx-qmnirbzweyn46s351sj4tapsjnslj65b1edxgmx9ymnu1b;pdmx-qmsjyhmcatljbzfwcoctfyqwx45aszpzvhhsywzvkevie5;pdmx-qmxvjzvhnlq3bo6zlmz6t9bvbqhaatr2ivr4xv9q63lnef
1f672c3f3b948235d7f1ea36a293190c722d8a95efe229d6779f05a07242d0e1,4,pdmx-qmbyjhykztj9c9ec8xktgiwnnuxbvtbicqdp8nijwrjoeg;pdmx-qmnsqvnvknearvrv9tef5eoztuu9w4yf2gkxnwgrb77wmv;pdmx-qmugckeb6vep9tqrzwwwg14r3la3qynyyyeb8azzpzsptd;pdmx-qmxe6ihudhjkm6tdc7yppjpdnd9sizfiygnamc9e3wsmas
3c7f111c5110a6e0de156ea19a078dd0f47263bd21b021b6f5b8e0adfc567ad3,4,pdmx-qmpc4e6acf64nesufyq4v2qovyqdvnjbzghxmvtgenwsyz;pdmx-qmr7dd2hovbtkf3zadhc2z8vevhkxi4wvmhxunzenrpwzb;pdmx-qmrmxmwfwwhds2gc2gfqqxtchxephdyvtryi8yzjcb41pw;pdmx-qmswcj5wv88tgpgbpzy6ixumwmwhpauzecrn9scgbnu78q
3d8cfcdbc2c355b4ca8c09922df452fe65218a4068629e73758cb13f98fe30ab,4,pdmx-qmejzlblcu2wpyl8sztapzcpaqng9rumv5l7wjvaslzqbe;pdmx-qmptuuq4yb6jxn54zhwpjncm4yorgrozvmy5v6cujcsjnb;pdmx-qmrrmy1bbsrbjqabqxwnpx1d94ncuwtvunyvi75ahse8ph;pdmx-qmv7rd8ycbmkscahxpoedv9feroeehxojh5lgf6aqmgc6f
