record_id,official_label,ensemble_size,source_annotation_page,score_format,performance_audio,individual_audio_tracks,ensemble_mix,video,note_annotations,match_class,score_performance_relation,exact_printed_edition_claim,full_orchestra,source_dataset_url,dataset_doi,audio_binary_mirrored
urmp-26,26_King,4,https://labsites.rochester.edu/air/projects/URMP/annotations_4P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-27,27_King,4,https://labsites.rochester.edu/air/projects/URMP/annotations_4P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-28,28_Fugue,4,https://labsites.rochester.edu/air/projects/URMP/annotations_4P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-29,29_Fugue,4,https://labsites.rochester.edu/air/projects/URMP/annotations_4P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-30,30_Fugue,4,https://labsites.rochester.edu/air/projects/URMP/annotations_4P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-31,31_Slavonic,4,https://labsites.rochester.edu/air/projects/URMP/annotations_4P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-32,32_Fugue,4,https://labsites.rochester.edu/air/projects/URMP/annotations_4P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-33,33_Elise,4,https://labsites.rochester.edu/air/projects/URMP/annotations_4P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-34,34_Fugue,4,https://labsites.rochester.edu/air/projects/URMP/annotations_4P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-35,35_Rondeau,4,https://labsites.rochester.edu/air/projects/URMP/annotations_4P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-36,36_Rondeau,4,https://labsites.rochester.edu/air/projects/URMP/annotations_4P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-37,37_Rondeau,4,https://labsites.rochester.edu/air/projects/URMP/annotations_4P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-38,38_Jerusalem,5,https://labsites.rochester.edu/air/projects/URMP/annotations_5P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-39,39_Jerusalem,5,https://labsites.rochester.edu/air/projects/URMP/annotations_5P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-40,40_Miserere,5,https://labsites.rochester.edu/air/projects/URMP/annotations_5P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-41,41_Miserere,5,https://labsites.rochester.edu/air/projects/URMP/annotations_5P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-42,42_Arioso,5,https://labsites.rochester.edu/air/projects/URMP/annotations_5P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-43,43_Chorale,5,https://labsites.rochester.edu/air/projects/URMP/annotations_5P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-44,44_K515,5,https://labsites.rochester.edu/air/projects/URMP/annotations_5P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
